group,profile,run,project,duration_seconds,cpu_avg,mem_avg_gb,rx_bytes,tx_bytes,http_rps_avg,http_error_rps_avg,waiting_entries_created_delta,waiting_entries_waiting_avg,waiting_entries_completed_delta,worker_cycles_delta,reservation_holds_created_delta,reservation_completed_delta,reservation_holds_active_avg,reservation_stock_units_avg,docker_stats_sample_count,docker_stats_container_count,docker_stats_cpu_avg,docker_stats_mem_avg_gb,docker_stats_rx_bytes,docker_stats_tx_bytes,resource_source,resource_cpu_avg,resource_mem_avg_gb,resource_rx_bytes,resource_tx_bytes,errors
G2,contention,3,tcc-bes-g2-contention-run3,183.51560997962952,0.0,0.0,0.0,0.0,114.3002689233575,0.0,0.0,29.615384615384617,2681.0,134.0,0.0,0.0,0.0,110.76923076923077,43,9,1.2529232558139536,1.1428324966399999,44382690.0,47175810.0,docker-stats,1.2529232558139536,1.1428324966399999,44382690.0,47175810.0,{}
G2,spike,1,tcc-bes-g2-spike-run1,182.37182211875916,0.0,0.0,0.0,0.0,169.43727388460985,0.0,0.0,51.23076923076923,3677.0,125.0,0.0,151.0,0.38461538461538464,276.9230769230769,43,9,1.622425581395349,1.1401159532353489,59077790.0,63452180.0,docker-stats,1.622425581395349,1.1401159532353489,59077790.0,63452180.0,{}
G2,spike,2,tcc-bes-g2-spike-run2,182.7385289669037,0.0,0.0,0.0,0.0,170.63240907278026,0.0,0.0,50.30769230769231,3749.0,129.0,0.0,87.0,1.3846153846153846,276.9230769230769,43,9,1.5072558139534884,1.1725842555832557,60344650.0,64717940.0,docker-stats,1.5072558139534884,1.1725842555832557,60344650.0,64717940.0,{}
G2,spike,3,tcc-bes-g2-spike-run3,182.43833088874817,0.0,0.0,0.0,0.0,172.0024366250774,0.0,0.0,50.84615384615385,3764.0,127.0,0.0,0.0,0.0,276.9230769230769,43,9,1.480253488372093,1.1300747406883722,60593920.0,64739460.0,docker-stats,1.480253488372093,1.1300747406883722,60593920.0,64739460.0,{}
G2,steady,1,tcc-bes-g2-steady-run1,182.98341584205627,0.0,0.0,0.0,0.0,70.79936482788979,0.0,0.0,6.384615384615385,1311.0,140.0,0.0,1311.0,3.0,4615.384615384615,41,9,1.3894585365853658,1.126812812862439,36454750.0,37849630.0,docker-stats,1.3894585365853658,1.126812812862439,36454750.0,37849630.0,{}
G2,steady,2,tcc-bes-g2-steady-run2,183.6193220615387,0.0,0.0,0.0,0.0,71.16831874835019,0.0,0.0,5.846153846153846,1362.0,144.0,0.0,1241.0,3.769230769230769,4615.384615384615,43,9,1.1912093023255814,1.0939673919106978,37556890.0,38931870.0,docker-stats,1.1912093023255814,1.0939673919106978,37556890.0,38931870.0,{}
G2,steady,3,tcc-bes-g2-steady-run3,182.41017389297485,0.0,0.0,0.0,0.0,71.73325802154655,0.0,0.0,5.461538461538462,1270.0,133.0,0.0,1378.0,4.0,4615.2307692307695,43,9,1.1584302325581395,1.113245095888372,38213780.0,39616430.0,docker-stats,1.1584302325581395,1.113245095888372,38213780.0,39616430.0,{}
G3,contention,1,tcc-bes-g3-contention-run1,183.87263083457947,0.0,0.0,0.0,0.0,232.1339017179658,55.93282761421974,0.0,23.166666666666668,2600.0,130.0,0.0,0.0,0.0,110.76923076923077,44,13,1.7839795454545453,1.8527129674472724,78636610.0,81365600.0,docker-stats,1.7839795454545453,1.8527129674472724,78636610.0,81365600.0,{}
G3,contention,2,tcc-bes-g3-contention-run2,184.2492549419403,0.0,0.0,0.0,0.0,237.81138786086044,56.0326501980503,0.0,26.076923076923077,2860.0,143.0,0.0,31.0,0.6923076923076923,110.76923076923077,44,13,1.6939545454545455,1.8252579113890908,78563590.0,81482740.0,docker-stats,1.6939545454545455,1.8252579113890908,78563590.0,81482740.0,{}
G3,contention,3,tcc-bes-g3-contention-run3,183.0833969116211,0.0,0.0,0.0,0.0,235.903343540507,56.23622456507088,0.0,26.76923076923077,2880.0,144.0,0.0,0.0,0.0,101.53846153846153,44,13,1.5730477272727272,1.8114236192581818,78613090.0,81485190.0,docker-stats,1.5730477272727272,1.8114236192581818,78613090.0,81485190.0,{}
G3,spike,1,tcc-bes-g3-spike-run1,181.7709379196167,0.0,0.0,0.0,0.0,373.73043776285596,93.93881787257342,0.0,50.15384615384615,3943.0,136.0,0.0,96.0,1.5384615384615385,276.9230769230769,43,13,1.904753488372093,1.756685469172093,110785600.0,115095460.0,docker-stats,1.904753488372093,1.756685469172093,110785600.0,115095460.0,{}
G3,spike,2,tcc-bes-g3-spike-run2,182.28983879089355,0.0,0.0,0.0,0.0,373.2690727760742,94.16855868309246,0.0,51.92307692307692,3993.0,137.0,0.0,138.0,0.07692307692307693,276.9230769230769,43,13,1.8731139534883718,1.7783970887441862,111325860.0,115724700.0,docker-stats,1.8731139534883718,1.7783970887441862,111325860.0,115724700.0,{}
G3,spike,3,tcc-bes-g3-spike-run3,182.1007559299469,0.0,0.0,0.0,0.0,372.7294297402993,94.24194490305895,0.0,48.69230769230769,3717.0,124.0,0.0,40.0,1.3076923076923077,276.9230769230769,43,13,2.065860465116279,1.759789254132093,111375220.0,115763540.0,docker-stats,2.065860465116279,1.759789254132093,111375220.0,115763540.0,{}
G3,steady,1,tcc-bes-g3-steady-run1,183.66697192192078,0.0,0.0,0.0,0.0,119.47441783056378,17.587733900145825,0.0,4.923076923076923,1278.0,133.0,0.0,1405.0,3.230769230769231,4615.384615384615,43,13,1.7329023255813951,1.7452469681413953,52493160.0,53997790.0,docker-stats,1.7329023255813951,1.7452469681413953,52493160.0,53997790.0,{}
G3,steady,2,tcc-bes-g3-steady-run2,183.24505496025085,0.0,0.0,0.0,0.0,121.00350162958473,17.681125271354787,0.0,6.384615384615385,1403.0,147.0,0.0,1278.0,5.538461538461538,4615.384615384615,43,13,1.7193023255813955,1.771765942891163,52390050.0,53804800.0,docker-stats,1.7193023255813955,1.771765942891163,52390050.0,53804800.0,{}
G3,steady,3,tcc-bes-g3-steady-run3,182.86312103271484,0.0,0.0,0.0,0.0,124.95565648868599,17.84920918624923,0.0,3.8461538461538463,1433.0,148.0,0.0,1436.0,4.230769230769231,4615.384615384615,43,13,1.453027906976744,1.7838765079813952,52945870.0,54443620.0,docker-stats,1.453027906976744,1.7838765079813952,52945870.0,54443620.0,{}
