group,load,run,cpu_avg,duration_seconds,mem_avg_gb,rx_bytes,tx_bytes,resource_source,network_bytes,icce,details
G2,steady,1,1.3894585365853658,182.98341584205627,1.126812812862439,36454750.0,37849630.0,docker-stats,74304380.0,2.580530536324157,"{""cpu_ratio"": 5.386481580132887, ""duration_ratio"": 0.9999977493729133, ""memory_ratio"": 2.529719642913341, ""network_ratio"": 1.405923172877487}"
G2,steady,2,1.1912093023255814,183.6193220615387,1.0939673919106978,37556890.0,38931870.0,docker-stats,76488760.0,2.3811603521830778,"{""cpu_ratio"": 4.617933386359441, ""duration_ratio"": 1.003472953862721, ""memory_ratio"": 2.4559809477077863, ""network_ratio"": 1.447254120802362}"
G2,steady,3,1.1584302325581395,182.41017389297485,1.113245095888372,38213780.0,39616430.0,docker-stats,77830210.0,2.364905056910491,"{""cpu_ratio"": 4.490859529265348, ""duration_ratio"": 0.9968650028543853, ""memory_ratio"": 2.4992598187553274, ""network_ratio"": 1.4726358767669028}"
G3,contention,1,1.7839795454545453,183.87263083457947,1.8527129674472724,78636610.0,81365600.0,docker-stats,160002210.0,3.1450616406731653,"{""cpu_ratio"": 4.946442659666552, ""duration_ratio"": 1.0032008609326186, ""memory_ratio"": 4.14173458584105, ""network_ratio"": 2.4888684562524412}"
G3,contention,2,1.6939545454545455,184.2492549419403,1.8252579113890908,78563590.0,81482740.0,docker-stats,160046330.0,3.0679998889074906,"{""cpu_ratio"": 4.696830212275502, ""duration_ratio"": 1.0052557052399929, ""memory_ratio"": 4.080358885864679, ""network_ratio"": 2.489554752249789}"
G3,contention,3,1.5730477272727272,183.0833969116211,1.8114236192581818,78613090.0,81485190.0,docker-stats,160098280.0,2.975070437387491,"{""cpu_ratio"": 4.361591703054416, ""duration_ratio"": 0.9988948359010772, ""memory_ratio"": 4.049432365029581, ""network_ratio"": 2.49036284556489}"
G3,spike,1,1.904753488372093,181.7709379196167,1.756685469172093,110785600.0,115095460.0,docker-stats,225881060.0,2.5798723873088627,"{""cpu_ratio"": 2.998638640306114, ""duration_ratio"": 0.9974880586140845, ""memory_ratio"": 3.9144438343201395, ""network_ratio"": 2.4089190159951133}"
G3,spike,2,1.8731139534883718,182.28983879089355,1.7783970887441862,111325860.0,115724700.0,docker-stats,227050560.0,2.5833449141019758,"{""cpu_ratio"": 2.948828765987561, ""duration_ratio"": 1.0003355843441437, ""memory_ratio"": 3.962824103217758, ""network_ratio"": 2.4213912028584397}"
G3,spike,3,2.065860465116279,182.1007559299469,1.759789254132093,111375220.0,115763540.0,docker-stats,227138760.0,2.648814481909574,"{""cpu_ratio"": 3.2522681039806502, ""duration_ratio"": 0.9992979713019188, ""memory_ratio"": 3.9213600365162296, ""network_ratio"": 2.422331815839496}"
G3,steady,1,1.7329023255813951,183.66697192192078,1.7452469681413953,52493160.0,53997790.0,docker-stats,106490950.0,3.4136707637906265,"{""cpu_ratio"": 6.717902125998525, ""duration_ratio"": 1.0037333586262933, ""memory_ratio"": 3.9181179754487063, ""network_ratio"": 2.0149295950889816}"
G3,steady,2,1.7193023255813955,183.24505496025085,1.771765942891163,52390050.0,53804800.0,docker-stats,106194850.0,3.413396906629875,"{""cpu_ratio"": 6.66517932243086, ""duration_ratio"": 1.0014275976907976, ""memory_ratio"": 3.977653659254069, ""network_ratio"": 2.0093270471437727}"
G3,steady,3,1.453027906976744,182.86312103271484,1.7838765079813952,52945870.0,54443620.0,docker-stats,107389490.0,3.167258239612533,"{""cpu_ratio"": 5.632919479255303, ""duration_ratio"": 0.9993403425907244, ""memory_ratio"": 4.004842145261533, ""network_ratio"": 2.0319309913425716}"
